index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
234,1378,CENTRAL CONNECTICUT STATE UNIVERSITY,NEW BRITAIN,CT,6050,Public,Subsidized,2905,2976,13016804.0,2976,6557935.0,41.6612104,-72.7795419,NEW BRITAIN,CT,06050
235,1422,UNIVERSITY OF HARTFORD,WEST HARTFORD,CT,6117,Private-Nonprofit,Subsidized,1733,1733,7765855.0,1733,3919165.0,41.7875,-72.76203,West Hartford,CT,06117
236,1401,POST UNIVERSITY,WATERBURY,CT,6723,Proprietary,Subsidized,2130,2133,7579017.0,2141,2145647.0,41.556522,-73.037165,WATERBURY,CT,06723
237,1416,UNIVERSITY OF BRIDGEPORT,BRIDGEPORT,CT,6601,Private-Nonprofit,Subsidized,909,909,4087201.0,910,2024582.0,41.1670412,-73.2048348,BRIDGEPORT,CT,06601
238,1409,UNIVERSITY OF SAINT JOSEPH,WEST HARTFORD,CT,6117,Private-Nonprofit,Subsidized,486,486,2189064.0,486,1103408.0,41.7875,-72.76203,West Hartford,CT,06117
239,1385,FAIRFIELD UNIVERSITY,FAIRFIELD,CT,6430,Private-Nonprofit,Subsidized,759,759,3408244.0,759,1700187.0,41.1412078,-73.2637258,FAIRFIELD,CT,06430
240,1380,WESTERN CONNECTICUT STATE UNIVERSITY,DANBURY,CT,6810,Public,Subsidized,1509,1509,6567946.0,1511,3339495.0,41.37627,-73.45904,Danbury,CT,06810
241,1425,EASTERN CONNECTICUT STATE UNIVERSITY,WILLIMANTIC,CT,6226,Public,Subsidized,1274,1287,5796396.0,1287,2947115.0,41.70816,-72.20731,Willimantic,CT,06226
243,1374,ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,6511,Private-Nonprofit,Subsidized,638,641,2753360.0,933,1448946.0,41.31663,-72.92587,New Haven,CT,06511
245,1379,CONNECTICUT COLLEGE,NEW LONDON,CT,6320,Private-Nonprofit,Subsidized,509,509,2305047.0,511,1150780.0,41.35026,-72.10225,New London,CT,06320
246,32343,CHARTER OAK STATE COLLEGE,NEW BRITAIN,CT,6053,Public,Subsidized,405,405,1713183.0,405,903479.0,41.68874,-72.7941,New Britain,CT,06053
247,1414,TRINITY COLLEGE,HARTFORD,CT,6106,Private-Nonprofit,Subsidized,361,361,1563645.0,361,781631.0,41.74818,-72.69683,Hartford,CT,06106
248,1424,WESLEYAN UNIVERSITY,MIDDLETOWN,CT,6459,Private-Nonprofit,Subsidized,384,384,1634136.0,384,824110.0,41.5516,-72.66017,Middletown,CT,06459
249,1431,UNIVERSITY OF DELAWARE,NEWARK,DE,19716,Public,Subsidized,4040,4045,17874162.0,4045,9070672.0,39.66779,-75.74595,Newark,DE,19716
250,1428,DELAWARE STATE UNIVERSITY,DOVER,DE,19901,Public,Subsidized,817,823,3376884.0,823,1723574.0,39.17335,-75.47758,Dover,DE,19901
251,1433,WESLEY COLLEGE,DOVER,DE,19901,Private-Nonprofit,Subsidized,268,268,1256521.0,268,631012.0,39.17335,-75.47758,Dover,DE,19901
252,1429,GOLDEY-BEACOM COLLEGE,WILMINGTON,DE,19808,Private-Nonprofit,Subsidized,81,81,257240.0,81,141566.0,39.73777,-75.66596,Wilmington,DE,19808
253,1444,GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,20052,Private-Nonprofit,Subsidized,1835,1841,8536760.0,1841,4237568.0,38.89884,-77.04779,Washington,DC,20052
