OPE ID,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
E00472,HARVARD UNIV MEDICAL SCHOOL,25 SHATTUCK ST,BOSTON,MA,02115,NA,NA,NA
E00473,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,3400 N. CHARLES ST,BALTIMORE,MD,21218,NA,NA,NA
E00474,JOHNS HOPKINS UNIV SCH ADV INTL STU,1740 MASSACHUSETTS AVE. NW,WASHINGTON,DC,20036,NA,NA,NA
E00475,JOHNS HOPKINS UNIVERSITY - SCHOOL OF EDU,6740 ALEXANDER BELL DRIVE,COLUMBIA,MD,21046,NA,NA,NA
E00476,JOHNS HOPKINS UNIV SCH OF NURSING,525 N WOLFE STREET - ROOM 127,BALTIMORE,MD,21205,NA,NA,NA
E00479,MISSISSIPPI COLLEGE - SCHOOL OF LAW,151 EAST GRIFFITH,JACKSON,MS,39201,NA,NA,NA
E00505,ST JOSEPH'S COLLEGE-SUFFOLK CAMPUS,155 ROE BLVD,PATCHOGUE,NY,11772,NA,NA,NA
E00506,UNIVERSITY OF MICHIGAN LAW SCHOOL,310 HUTCHINS HALL,ANN ARBOR,MI,48109,NA,NA,NA
E00507,HARVARD BUSINESS SCHOOL,SPANGLER CTR,BOSTON,MA,02163,NA,NA,NA
E00508,HARVARD SCH OF DENTAL MEDICINE,188 LONGWOOD AVE,BOSTON,MA,02115,NA,NA,NA
E00514,WAKE FOREST UNIV - SCH OF LAW,PO BOX 7206,WINSTON-SALEM,NC,27109,NA,NA,NA
E00515,WAKE FOREST GRAD SCHOOLS OF BUSINESS,WORRELL PROFESSIONAL CENTER,WINSTON-SALEM,NC,27109,NA,NA,NA
E00516,UNIVERSITY OF PITTSBURGH - SCHOOL OF MED,M-219 SCAIFE HALL,PITTSBURGH,PA,15261,NA,NA,NA
E00518,"GEORGETOWN UNIV, SCH OF MEDICINE",3900 RESERVIOR RD  NW,WASHINGTON,DC,20007,NA,NA,NA
E00519,TUFTS UNIV SCH OF DENTAL MEDICINE,1 KNEELAND STR,BOSTON,MA,02111,NA,NA,NA
E00520,TUFTS UNIV SCHOOL OF MEDICINE,136 HARRISON AVE,BOSTON,MA,02111,NA,NA,NA
E00522,"SMITH COLLEGE, SCH FOR SOCIAL WORK",LILLY HALL,NORTHAMPTON,MA,01063,NA,NA,NA
E00524,WAKE FOREST UNIV - SCH OF MEDICINE,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157,NA,NA,NA
E00532,UNIV OF MIAMI SCHOOL OF LAW,211 OLD LAW PO BOX 24-8087,CORAL GABLES,FL,33124,NA,NA,NA
E00533,UNIV OF MIAMI-SCH OF MEDICINE,1600 NW 10TH AVE,MIAMI,FL,33136,NA,NA,NA
E00540,SOUTHWESTERN OK STATE UNIV AT SAYRE,409 EAST MISSISSIPPI AVENUE,SAYRE,OK,73662,NA,NA,NA
E00546,NY INSTITUTE OF TECHNOLOGY-OSTEOPATHIC M,NORTHERN BOULEVARD,OLD WESTBURY,NY,11568,NA,NA,NA
E00554,ANTIOCH UNIV/LOS ANGELES,400 CORPORATE POINTE,CULVER CITY,CA,90230,NA,NA,NA
E00555,ANTIOCH UNIV/SEATTLE,2626 SIXTH AVENUE,SEATTLE,WA,98121,NA,NA,NA
E00556,ANTIOCH  UNIV/SANTA BARBARA,801 GARDEN STR  SUITE 101,SANTA BARBARA,CA,93101,NA,NA,NA
E00557,ANTIOCH UNIVERSITY,40 AVON STREET,KEENE,NH,03431,NA,NA,NA
E00562,"MIDDLESEX COMMUNITY COLLEGE, LOWELL",33 KEARNEY SQUARE,LOWELL,MA,01852,NA,NA,NA
E00584,FLORIDA ATLANTIC UNIVERSITY/DAVIE,2912 COLLEGE AVENUE,DAVIE,FL,33314,NA,NA,NA
E00587,UNIV OF KY-COLLEGE OF DENTISTRY,D155 CHANDLER MEDICAL CENTER,LEXINGTON,KY,40536,NA,NA,NA
E00588,UNIV OF KY-COLLEGE OF MEDICINE,OSFA - MN109A CHANDLER MED CTR,LEXINGTON,KY,40536,NA,NA,NA
E00602,SOUTH UNIVERSITY - WEST PALM BEACH,1760 N. CONGRESS AVE.,WEST PALM BEACH,FL,33409,NA,NA,NA
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,2800 COLLEGE AVENUE,ALTON,IL,62002,NA,NA,NA
E00611,MIAMI DADE COLLEGE - HOMESTEAD CAMPUS,500 COLLEGE TERRACE,HOMESTEAD,FL,33030,NA,NA,NA
E00616,CARLOS ALBIZU UNIVERSITY,2173 N.W. 99TH AVE,MIAMI,FL,33172,NA,NA,NA
E00646,ECPI UNIVERSITY - CHARLOTTE,4800 AIRPORT CENTER PARKWAY,CHARLOTTE,NC,28208,NA,NA,NA
E00647,ECPI UNIVERSITY - GREENSBORO,7802 AIRPORT CENTER DRIVE,GREENSBORO,NC,27409,NA,NA,NA
E00648,ECPI UNIVERSITY - NEWPORT NEWS,1001 OMNI BOULEVARD,NEWPORT NEWS,VA,23606,NA,NA,NA
E00651,U OF MD UNIVERSITY COLLEGE - ASIA,3501 UNIVERSITY BOULEVARD,ADLEPHI,MD,31207,NA,NA,NA
E00656,WIDENER UNIVERSITY - COMMONWEALTH LAW SC,3800 VARTAN WAY,HARRISBURG,PA,17110,NA,NA,NA
E00673,REMINGTON COLLEGE - FT. WORTH CAMPUS,300 EAST LOOP 820,FT. WORTH,TX,76112,NA,NA,NA
E00680,CASE WESTERN RESERVE UNIV -ENG GRAD,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00681,CASE WESTERN RESERVE UNIV -A&S GRAD,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00686,OHIO BUSINESS COLLEGE,5202 TIMBER COMMONS DRIVE,SANDUSKY,OH,44870,NA,NA,NA
E00693,BUSINESS INSTITUTE OF PENNSYLVANIA,628 ARCH STREET SUITE B-105,MEADVILLE,PA,16335,NA,NA,NA
E00701,MARICOPA SKILL CENTER,1245 EAST BUCKEYE ROAD,PHOENIX,AZ,85034,NA,NA,NA
E00703,WEST VIRGINIA CAREER INSTITUTE,RT 119N & MT BRADDOCK RD BX278,MOUNT BRADDOCK,PA,15456,NA,NA,NA
E00710,INTERACTIVE LEARNING SYSTEMS,11 SPIRAL DRIVE  SUITE 8,FLORENCE,KY,41042,NA,NA,NA
E00711,INTERACTIVE COLG OF TECHNOLOGY HOUSTON,2950 SOUTH GESSNER,HOUSTON,TX,77063,NA,NA,NA
E00722,GORDON-CONWELL THEO SEM - CHARLOTTE,14542 CHOATE CIRCLE,CHARLOTTE,NC,28273,NA,NA,NA
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,NA,NA,NA
E00729,LINCOLN TECHNICAL INSTITUTE - MAHWAH,70 MCKEE DRIVE,MAHWAH,NJ,07430,NA,NA,NA
E00750,UNIVERSITY OF PITTSBURGH - SCHOOL OF DEN,3501 TERRACE STREET,PITTSBURGH,PA,15261,NA,NA,NA
E00773,CHICAGO KENT COLLEGE OF LAW,565 W ADAMS STREET,CHICAGO,IL,60661,NA,NA,NA
E00780,FORTIS INSTITUTE - FORTIS COLLEGE,2140 SOUTH COBB DRIVE,SMYRNA,GA,30080,NA,NA,NA
E00784,EDUCATORS OF BEAUTY,128 S. 5TH STREET,ROCKFORD,IL,61104,NA,NA,NA
E00793,NATIONAL-LOUIS UNIVERSITY,"TWO URBAN CENTRE, SUITE 145",TAMPA,FL,33609,NA,NA,NA
E00797,OFFICIAL USE ONLY,"830 FIRST STREET, N.E.",WASHINGTON,DC,20202,NA,NA,NA
E00819,SOUTHERN CAREERS INSTITUTE - PHARR,1500 NORTH JACKSON ROAD,PHARR,TX,78577,NA,NA,NA
E00820,SOUTHERN CAREERS INSTITUTE - CORPUS CHRI,2422 AIRLINE ROAD,CORPUS CHRISTI,TX,78414,NA,NA,NA
E00821,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,238 SOUTHWEST MILITARY DRIVE,SAN ANTONIO,TX,78221,NA,NA,NA
E00830,FLORIDA ATLANTIC UNIV-JUPITER/PSL,5353 PARKSIDE DRIVE,JUPITER,FL,33458,NA,NA,NA
E00831,CHEEKS INTERNATIONAL ACADEMY OF BEAUTY C,5010 GRANITE STREET,LOVELAND,CO,80538,NA,NA,NA
E00834,FLORIDA NATIONAL UNIVERSITY - SOUTH CAMP,11865 SOUTHWEST 26 STREET,MIAMI,FL,33175,NA,NA,NA
