OPE ID,School,State,Zip Code,School Type,PROCESSED IN Q2 Dependent Students,PROCESSED IN Q2 Independent Students,PROCESSED IN Q2 Quarterly Total,AWARD YEAR TO DATE Dependent Students,AWARD YEAR TO DATE Independent Students,AWARD YEAR TO DATE Award Year To Date Total
113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,"34,520","12,082","46,602","80,272","20,250","100,522"
114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,"19,758","8,882","28,640","43,303","14,988","58,291"
114100,"CALIF STATE UNIV, DOMINGUEZ HILLS       ",CA,90747-0001,Public       ,"11,007","5,673","16,680","22,958","9,472","32,430"
114200,CALIF STATE UNIV SAN BERNARDINO         ,CA,92407-2397,Public       ,"9,008","5,587","14,595","21,904","10,242","32,146"
114300,CAL POLY STATE UNIVERSITY               ,CA,93407-0001,Public       ,"20,468","1,987","22,455","55,032","3,517","58,549"
114400,CALIF STATE POLYTECHNIC UNIV POMONA     ,CA,91768-2500,Public       ,"19,737","5,824","25,561","44,209","9,726","53,935"
114600,CALIF STATE UNIV - CHICO                ,CA,95929-0001,Public       ,"9,523","2,990","12,513","21,308","5,054","26,362"
114700,CALIF STATE UNIV - FRESNO               ,CA,93740-8026,Public       ,"12,354","5,161","17,515","29,290","9,012","38,302"
114900,HUMBOLDT STATE UNIVERSITY               ,CA,95521-8299,Public       ,"4,035","1,333","5,368","10,138","2,656","12,794"
115000,CALIF STATE UNIV-SACRAMENTO             ,CA,95819-6044,Public       ,"17,223","7,390","24,613","38,042","12,610","50,652"
115100,SAN DIEGO STATE UNIVERSITY              ,CA,92182-1690,Public       ,"28,621","7,417","36,038","74,823","13,497","88,320"
115300,CALIF STATE UNIV-NORTHRIDGE             ,CA,91330-8307,Public       ,"19,707","8,230","27,937","41,010","14,900","55,910"
115400,SAN FRANCISCO STATE UNIVERSITY          ,CA,94132-1740,Public       ,"14,738","5,606","20,344","32,801","9,525","42,326"
115500,SAN JOSE STATE UNIVERSITY               ,CA,95192-0036,Public       ,"16,387","6,665","23,052","37,227","10,565","47,792"
115600,SONOMA STATE UNIVERSITY                 ,CA,94928-3609,Public       ,"4,093","1,177","5,270","9,627","2,121","11,748"
115700,CALIF STATE UNIV-STANISLAUS             ,CA,95382-0299,Public       ,"4,328","2,444","6,772","9,858","4,539","14,397"
116100,CERRITOS COLLEGE                        ,CA,90650-6296,Public       ,"6,567","3,508","10,075","10,471","5,692","16,163"
116200,CHABOT COLLEGE                          ,CA,94545-2400,Public       ,"2,425","1,413","3,838","3,916","2,311","6,227"
116300,CHAFFEY COMMUNITY COLLEGE               ,CA,91737-9400,Public       ,"5,245","4,204","9,449","9,247","6,446","15,693"
