index,OPE ID,School,City,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
4542,1537,UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,33620,Public,Unsubsidized - Undergraduate,5122,5187,12698566,5187,12698566
13988,3018,BOWLING GREEN STATE UNIVERSITY,BOWLING GREEN,OH,43403,Public,Parent Plus,1706,1710,24648291,1724,12691743
9724,24544,NORTHEAST OHIO MEDICAL UNIVERSITY,,OH,,Public,Unsubsidized - Graduate,668,913,20141442,919,12690254
5103,2423,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MS,39762,Public,Unsubsidized - Undergraduate,5926,6039,24096537,6039,12689368
8936,1759,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,EDWARDSVILLE,IL,62026,Public,Unsubsidized - Graduate,1032,1086,21281708,1086,12671753
10037,3646,TEXAS WOMANS UNIVERSITY,DENTON,TX,76204,Public,Unsubsidized - Graduate,1872,1954,24711213,1955,12668036
943,2609,ROWAN UNIVERSITY,GLASSBORO,NJ,8028,Public,Subsidized,5499,5522,24680936,5523,12632534
1103,2972,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,NC,27695,Public,Subsidized,5888,5930,24513931,5931,12588271
4952,2161,UNIVERSITY OF MASSACHUSETTS - LOWELL,LOWELL,MA,1854,Public,Unsubsidized - Undergraduate,5464,5495,24808218,5532,12551891
4659,1692,ILLINOIS STATE UNIVERSITY,NORMAL,IL,61790,Public,Unsubsidized - Undergraduate,6831,7049,24500477,7049,12546579
99,1150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,SACRAMENTO,CA,95819,Public,Subsidized,5259,5272,23539916,5283,12542759
10535,40653,ROSEMAN UNIVERSITY OF HEALTH SCIENCES,HENDERSON,NV,89014,Private-Nonprofit,Unsubsidized - Graduate,671,674,24999007,674,12497731
11396,22779,ROSS UNIVERSITY SCHOOL OF VETERINARY MEDICINE,,,,Foreign-For-Profit,Unsubsidized - Graduate,1235,1235,19147544,1235,12486520
9542,2839,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER,BROOKLYN,NY,11203,Public,Unsubsidized - Graduate,676,698,23697096,698,12474813
5704,3530,UNIVERSITY OF TENNESSEE,KNOXVILLE,TN,37996,Public,Unsubsidized - Undergraduate,5975,6118,23949428,6118,12462288
17480,1659,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,NORTH CHICAGO,IL,60064,Private-Nonprofit,Grad Plus,1336,1472,36937223,1472,12443160
13553,2325,UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,48109,Public,Parent Plus,787,793,22329568,805,12391433
975,2785,NEW YORK UNIVERSITY,NEW YORK,NY,10012,Private-Nonprofit,Subsidized,5535,5570,23253137,5570,12390623
17193,31713,UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES,,CA,,Proprietary,Grad Plus,1009,1022,34446497,1022,12386533
5949,3895,UNIVERSITY OF WISCONSIN - MADISON,MADISON,WI,53715,Public,Unsubsidized - Undergraduate,5675,5866,24400302,5866,12375078
268,1537,UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,33620,Public,Subsidized,5510,5530,12362565,5530,12362565
16943,2532,MONTANA STATE UNIVERSITY BOZEMAN,BOZEMAN,MT,59717,Public,Parent Plus,1205,1217,24206865,1218,12354503
18359,3212,PACIFIC UNIVERSITY,FOREST GROVE,OR,97116,Private-Nonprofit,Grad Plus,1095,1323,26841270,1323,12319418
9122,1980,UNIVERSITY OF PIKEVILLE,PIKEVILLE,KY,41501,Private-Nonprofit,Unsubsidized - Graduate,583,583,24554328,585,12311293
13179,1610,UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HI,96822,Public,Parent Plus,1191,1200,24467881,1211,12298476
41,1082,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,86011,Public,Subsidized,5730,5730,23674264,5747,12281033
4484,1350,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,80523,Public,Unsubsidized - Undergraduate,5275,5451,23782784,5452,12253013
4541,9635,FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,33199,Public,Unsubsidized - Undergraduate,4237,4277,12249461,4289,12249461
977,2837,STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NY,14260,Public,Subsidized,5622,5675,24048489,5675,12246609
12860,1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,85017,Proprietary,Parent Plus,1726,1730,22557695,1731,12216521
18376,12393,THOMAS JEFFERSON UNIVERSITY,,PA,,Private-Nonprofit,Grad Plus,852,898,23104910,899,12214954
10054,9768,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,FORT WORTH,TX,76107,Public,Unsubsidized - Graduate,729,732,24297561,748,12181639
5712,3510,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,37130,Public,Unsubsidized - Undergraduate,5452,5717,23138429,5717,12162676
932,2580,SOUTHERN NEW HAMPSHIRE UNIVERSITY,MANCHESTER,NH,3106,Private-Nonprofit,Subsidized,12866,12871,42247598,12871,12161146
4916,2099,TOWSON UNIVERSITY,TOWSON,MD,21252,Public,Unsubsidized - Undergraduate,6020,6225,24007333,6225,12119471
9711,3051,KENT STATE UNIVERSITY,KENT,OH,44242,Public,Unsubsidized - Graduate,1243,1294,24698411,1294,12098774
8861,1577,KENNESAW STATE UNIVERSITY,KENNESAW,GA,30144,Public,Unsubsidized - Graduate,1500,1510,24117917,1510,12082592
1166,3018,BOWLING GREEN STATE UNIVERSITY,BOWLING GREEN,OH,43403,Public,Subsidized,5749,5753,23565798,5772,12057669
